GHGRP ID,Landfill ID,Landfill Name,State,Physical Address,City,County,Zip Code,Latitude,Longitude,Ownership Type,Landfill Owner Organization(s),Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Waste in Place (tons),Waste in Place Year,LFG Collection System In Place?,LFG Collected (mmscfd),LFG Flared (mmscfd),Project ID,Current Project Status,Project Name,Project Start Date,Project Shutdown Date,Project Type Category,LFG Energy Project Type,RNG Delivery Method,Actual MW Generation,Rated MW Capacity,LFG Flow to Project (mmscfd),Current Year Emission Reductions (MMTCO2e/yr) - Direct,Current Year Emission Reductions (MMTCO2e/yr) - Avoided
1006957,18,North Montgomery SLF MSWLF,AL,115 Division Street,Montgomery,Montgomery,36104,32.4131,-86.3245,Public,"City of Montgomery, AL",1969,2040,Open,"11,321,607",2022,Yes,0.473,0.473,201485-0,Candidate,,,,Unknown,Unknown,,,,,,
1006957,18,North Montgomery SLF MSWLF,AL,115 Division Street,Montgomery,Montgomery,36104,32.4131,-86.3245,Public,"City of Montgomery, AL",1969,2040,Open,"11,321,607",2022,Yes,0.473,0.473,73-0,Shutdown,Project #1,10/1/1998,1/1/2011,Direct,Direct Thermal,,,,0.87,,
1006957,18,North Montgomery SLF MSWLF,AL,115 Division Street,Montgomery,Montgomery,36104,32.4131,-86.3245,Public,"City of Montgomery, AL",1969,2040,Open,"11,321,607",2022,Yes,0.473,0.473,73-1,Shutdown,"Project #1, Expansion #1",1/1/2000,1/1/2010,Direct,Direct Thermal,,,,0.44,,
1002646,22,Pine View SLF MSWLF,AL,2730 Bryan Road,Dora,Walker,35062,33.71458,-87.04981,Private,"Republic Services, Inc.",1993,2025,Open,"11,461,882",2022,Yes,1.961,1.961,77-0,Planned,Project #1,12/31/2025,,Renewable Natural Gas,Other,Pipeline Injection,,,,,
1003265,17,Salem Landfill,AL,4210 Lee Road 183,Opelika,Lee,36804,32.65347,-85.2636,Private,WM,1985,2074,Open,"13,460,974",2022,Yes,2,2,72-0,Candidate,,,,Unknown,Unknown,,,,,,
1006304,2410,Sand Valley Landfill,AL,3345 County Road 209,Collinsville,DeKalb,35961,34.342,-85.862,Private,"Republic Services, Inc.",1997,2063,Open,"10,665,246",2022,Yes,3.149,0.88,180771-0,Operational,Project #1,11/26/2013,,Electricity,Reciprocating Engine,,3.72,4.8,2.27,0.1882,0.0180
,30,Saraland SLF,AL,,,Mobile,,,,Public,"City of Saraland, AL",1969,1993,Closed,"850,705",,No,,,85-0,Low Potential,,,,Unknown,Unknown,,,,,,
1004860,11821,Scottsboro Landfill,AL,650 County Road 412,Hollywood,Jackson,35768,34.756,-85.919,Public,"City of Scottsboro, AL",1970,2025,Open,"1,191,422",2022,Shutdown,0.229,,181050-0,Shutdown,Project #1,9/7/2011,6/25/2018,Electricity,Reciprocating Engine,,0.45,0.5,,,
,12,Shannon SLF,AL,2785 Shannon Oxmoor Road,Birmingham,Jefferson,35211,33.42488,-86.85479,Public,"Jefferson County, AL",1972,1993,Closed,"9,324,502",,No,,,67-0,Low Potential,,,,Unknown,Unknown,,,,,,
1007082,5,Shelby County Highway 70 Landfill,AL,"4154 Highway 70
401 Landfill Road",Columbiana,Shelby,35051,33.171785,-86.687566,Public,"Shelby County, AL",1997,2055,Open,"4,011,710",2022,Yes,0.879,0.879,60-0,Candidate,,,,Unknown,Unknown,,,,,,
